"doc_id"	"paragraph_id"	"sentence_id"	"sentence"	"token_id"	"token"	"lemma"	"upos"	"xpos"	"feats"	"head_token_id"	"dep_rel"	"deps"	"misc"
"1"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"1"	"Краткий"	"краткий"	"ADJ"	NA	"Case=Nom|Degree=Pos|Gender=Masc|Number=Sing"	NA	NA	NA	NA
"2"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"2"	"морской"	"морской"	"ADJ"	NA	"Case=Nom|Degree=Pos|Gender=Masc|Number=Sing"	NA	NA	NA	NA
"3"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"3"	"словарь"	"словарь"	"NOUN"	NA	"Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing"	NA	NA	NA	"SpacesAfter=\n"
"4"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"4"	"Из"	"из"	"ADP"	NA	NA	NA	NA	NA	NA
"5"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"5"	"цикла"	"цикл"	"NOUN"	NA	"Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing"	NA	NA	NA	NA
"6"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"6"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"7"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"7"	"Морские"	"морской"	"ADJ"	NA	"Case=Nom|Degree=Pos|Number=Plur"	NA	NA	NA	NA
"8"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"8"	"рассказы"	"рассказ"	"NOUN"	NA	"Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur"	NA	NA	NA	"SpaceAfter=No"
"9"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"9"	"\""	"\""	"PUNCT"	NA	NA	NA	NA	NA	"SpacesAfter=\n"
"10"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"10"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"11"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"11"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"12"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"12"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"13"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"13"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"14"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"14"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"15"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"15"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"16"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"16"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"17"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"17"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"18"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"18"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"19"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"19"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"20"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"20"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"21"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"21"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"22"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"22"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"23"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"23"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"24"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"24"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"25"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"25"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"26"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"26"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"27"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"27"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"28"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"28"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"29"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"29"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"30"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"30"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"31"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"31"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"32"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"32"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"33"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"33"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"34"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"34"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"35"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"35"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"36"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"36"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"37"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"37"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"38"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"38"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"39"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"39"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"40"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"40"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"41"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"41"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"42"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"42"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"43"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"43"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"44"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"44"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"45"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"45"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"46"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"46"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"47"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"47"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"48"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"48"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"49"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"49"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"50"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"50"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"51"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"51"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"52"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"52"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"53"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"53"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"54"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"54"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
"55"	"doc1"	1	1	"Краткий морской словарь Из цикла \"Морские рассказы\" --------------------------------------------------------------------------- Книга: К.М.Станюкович."	"55"	"-"	"-"	"PUNCT"	NA	NA	NA	NA	NA	"SpaceAfter=No"
