"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	7.71428571428571	7.29761904761905	0.626163952617595
"2"	"2"	14	14.2380952380952	1.22168366611851
"3"	"3"	21	16.6111111111111	1.42529761047159
"4"	"4"	14.8333333333333	16.7222222222222	1.43483137375234
"5"	"5"	14.3333333333333	17	1.4586657819542
"6"	"6"	21.8333333333333	19.2222222222222	1.64934104756913
"7"	"7"	21.5	19.5555555555556	1.67794233741137
"8"	"8"	15.3333333333333	17.1666666666667	1.47296642687532
"9"	"9"	14.6666666666667	15.1428571428571	1.29931573854744
"10"	"10"	15.4285714285714	12.0119047619048	1.03066790895784
