"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"Александров_В.И_Прогул_1930.txt"	312	1	1	1	12	"1"
"2"	"Александров_В.И_Прогул_1930.txt"	312	2	116	1	6	"1"
"3"	"Александров_В.И_Прогул_1930.txt"	312	2	117	2	13	"1"
"4"	"Александров_В.И_Прогул_1930.txt"	312	2	118	3	15	"1"
"5"	"Александров_В.И_Прогул_1930.txt"	312	2	119	4	6	"1"
"6"	"Александров_В.И_Прогул_1930.txt"	312	2	120	5	4	"1"
"7"	"Александров_В.И_Прогул_1930.txt"	312	3	2	1	2	"1"
"8"	"Александров_В.И_Прогул_1930.txt"	312	3	3	2	6	"1"
"9"	"Александров_В.И_Прогул_1930.txt"	312	4	121	1	4	"1"
"10"	"Александров_В.И_Прогул_1930.txt"	312	4	122	2	3	"1"
"11"	"Александров_В.И_Прогул_1930.txt"	312	4	123	3	7	"1"
"12"	"Александров_В.И_Прогул_1930.txt"	312	4	124	4	20	"1"
"13"	"Александров_В.И_Прогул_1930.txt"	312	5	125	1	13	"1"
"14"	"Александров_В.И_Прогул_1930.txt"	312	6	126	1	4	"1"
"15"	"Александров_В.И_Прогул_1930.txt"	312	6	127	2	6	"1"
"16"	"Александров_В.И_Прогул_1930.txt"	312	7	128	1	8	"1"
"17"	"Александров_В.И_Прогул_1930.txt"	312	7	129	2	9	"1"
"18"	"Александров_В.И_Прогул_1930.txt"	312	7	130	3	8	"1"
"19"	"Александров_В.И_Прогул_1930.txt"	312	7	131	4	4	"1"
"20"	"Александров_В.И_Прогул_1930.txt"	312	8	4	1	2	"1"
"21"	"Александров_В.И_Прогул_1930.txt"	312	9	132	1	1	"1"
"22"	"Александров_В.И_Прогул_1930.txt"	312	9	133	2	1	"1"
"23"	"Александров_В.И_Прогул_1930.txt"	312	9	134	3	5	"1"
"24"	"Александров_В.И_Прогул_1930.txt"	312	10	5	1	6	"1"
"25"	"Александров_В.И_Прогул_1930.txt"	312	11	135	1	3	"1"
"26"	"Александров_В.И_Прогул_1930.txt"	312	11	136	2	4	"1"
"27"	"Александров_В.И_Прогул_1930.txt"	312	11	137	3	3	"1"
"28"	"Александров_В.И_Прогул_1930.txt"	312	11	138	4	4	"1"
"29"	"Александров_В.И_Прогул_1930.txt"	312	11	139	5	5	"1"
"30"	"Александров_В.И_Прогул_1930.txt"	312	11	140	6	6	"1"
"31"	"Александров_В.И_Прогул_1930.txt"	312	12	6	1	26	"1"
"32"	"Александров_В.И_Прогул_1930.txt"	312	13	141	1	18	"1"
"33"	"Александров_В.И_Прогул_1930.txt"	312	13	142	2	18	"1"
"34"	"Александров_В.И_Прогул_1930.txt"	312	13	143	3	14	"2"
"35"	"Александров_В.И_Прогул_1930.txt"	312	14	144	1	2	"2"
"36"	"Александров_В.И_Прогул_1930.txt"	312	14	145	2	14	"2"
"37"	"Александров_В.И_Прогул_1930.txt"	312	16	8	1	3	"2"
"38"	"Александров_В.И_Прогул_1930.txt"	312	17	9	1	11	"2"
"39"	"Александров_В.И_Прогул_1930.txt"	312	17	10	2	6	"2"
"40"	"Александров_В.И_Прогул_1930.txt"	312	17	11	3	4	"2"
"41"	"Александров_В.И_Прогул_1930.txt"	312	18	146	1	4	"2"
"42"	"Александров_В.И_Прогул_1930.txt"	312	18	147	2	4	"2"
"43"	"Александров_В.И_Прогул_1930.txt"	312	19	12	1	1	"2"
"44"	"Александров_В.И_Прогул_1930.txt"	312	19	13	2	5	"2"
"45"	"Александров_В.И_Прогул_1930.txt"	312	20	148	1	7	"2"
"46"	"Александров_В.И_Прогул_1930.txt"	312	21	149	1	11	"2"
"47"	"Александров_В.И_Прогул_1930.txt"	312	22	150	1	4	"2"
"48"	"Александров_В.И_Прогул_1930.txt"	312	23	151	1	24	"2"
"49"	"Александров_В.И_Прогул_1930.txt"	312	24	14	1	4	"2"
"50"	"Александров_В.И_Прогул_1930.txt"	312	24	15	2	3	"2"
"51"	"Александров_В.И_Прогул_1930.txt"	312	24	16	3	17	"2"
"52"	"Александров_В.И_Прогул_1930.txt"	312	25	17	1	3	"2"
"53"	"Александров_В.И_Прогул_1930.txt"	312	25	18	2	4	"2"
"54"	"Александров_В.И_Прогул_1930.txt"	312	26	19	1	6	"2"
"55"	"Александров_В.И_Прогул_1930.txt"	312	27	20	1	13	"2"
"56"	"Александров_В.И_Прогул_1930.txt"	312	28	21	1	6	"2"
"57"	"Александров_В.И_Прогул_1930.txt"	312	29	22	1	7	"2"
"58"	"Александров_В.И_Прогул_1930.txt"	312	30	152	1	11	"2"
"59"	"Александров_В.И_Прогул_1930.txt"	312	30	153	2	22	"2"
"60"	"Александров_В.И_Прогул_1930.txt"	312	31	154	1	18	"2"
"61"	"Александров_В.И_Прогул_1930.txt"	312	32	155	1	1	"2"
"62"	"Александров_В.И_Прогул_1930.txt"	312	32	156	2	14	"2"
"63"	"Александров_В.И_Прогул_1930.txt"	312	33	157	1	3	"2"
"64"	"Александров_В.И_Прогул_1930.txt"	312	33	158	2	11	"2"
"65"	"Александров_В.И_Прогул_1930.txt"	312	33	159	3	2	"2"
"66"	"Александров_В.И_Прогул_1930.txt"	312	34	160	1	11	"2"
"67"	"Александров_В.И_Прогул_1930.txt"	312	34	161	2	7	"3"
"68"	"Александров_В.И_Прогул_1930.txt"	312	35	162	1	13	"3"
"69"	"Александров_В.И_Прогул_1930.txt"	312	36	163	1	6	"3"
"70"	"Александров_В.И_Прогул_1930.txt"	312	37	164	1	3	"3"
"71"	"Александров_В.И_Прогул_1930.txt"	312	37	165	2	4	"3"
"72"	"Александров_В.И_Прогул_1930.txt"	312	38	166	1	11	"3"
"73"	"Александров_В.И_Прогул_1930.txt"	312	39	167	1	2	"3"
"74"	"Александров_В.И_Прогул_1930.txt"	312	40	168	1	8	"3"
"75"	"Александров_В.И_Прогул_1930.txt"	312	41	23	1	2	"3"
"76"	"Александров_В.И_Прогул_1930.txt"	312	42	169	1	10	"3"
"77"	"Александров_В.И_Прогул_1930.txt"	312	42	170	2	6	"3"
"78"	"Александров_В.И_Прогул_1930.txt"	312	43	171	1	2	"3"
"79"	"Александров_В.И_Прогул_1930.txt"	312	43	172	2	3	"3"
"80"	"Александров_В.И_Прогул_1930.txt"	312	44	173	1	1	"3"
"81"	"Александров_В.И_Прогул_1930.txt"	312	45	174	1	5	"3"
"82"	"Александров_В.И_Прогул_1930.txt"	312	46	24	1	5	"3"
"83"	"Александров_В.И_Прогул_1930.txt"	312	47	175	1	13	"3"
"84"	"Александров_В.И_Прогул_1930.txt"	312	48	176	1	6	"3"
"85"	"Александров_В.И_Прогул_1930.txt"	312	49	177	1	12	"3"
"86"	"Александров_В.И_Прогул_1930.txt"	312	49	178	2	2	"3"
"87"	"Александров_В.И_Прогул_1930.txt"	312	50	179	1	19	"3"
"88"	"Александров_В.И_Прогул_1930.txt"	312	51	180	1	8	"3"
"89"	"Александров_В.И_Прогул_1930.txt"	312	52	181	1	6	"3"
"90"	"Александров_В.И_Прогул_1930.txt"	312	52	182	2	7	"3"
"91"	"Александров_В.И_Прогул_1930.txt"	312	53	183	1	19	"3"
"92"	"Александров_В.И_Прогул_1930.txt"	312	53	184	2	4	"3"
"93"	"Александров_В.И_Прогул_1930.txt"	312	53	185	3	15	"3"
"94"	"Александров_В.И_Прогул_1930.txt"	312	54	186	1	12	"3"
"95"	"Александров_В.И_Прогул_1930.txt"	312	55	187	1	10	"3"
"96"	"Александров_В.И_Прогул_1930.txt"	312	56	25	1	2	"3"
"97"	"Александров_В.И_Прогул_1930.txt"	312	57	188	1	3	"3"
"98"	"Александров_В.И_Прогул_1930.txt"	312	57	189	2	3	"3"
"99"	"Александров_В.И_Прогул_1930.txt"	312	57	190	3	1	"3"
"100"	"Александров_В.И_Прогул_1930.txt"	312	58	191	1	6	"4"
"101"	"Александров_В.И_Прогул_1930.txt"	312	59	26	1	14	"4"
"102"	"Александров_В.И_Прогул_1930.txt"	312	60	192	1	10	"4"
"103"	"Александров_В.И_Прогул_1930.txt"	312	61	27	1	13	"4"
"104"	"Александров_В.И_Прогул_1930.txt"	312	62	28	1	6	"4"
"105"	"Александров_В.И_Прогул_1930.txt"	312	63	193	1	15	"4"
"106"	"Александров_В.И_Прогул_1930.txt"	312	63	194	2	25	"4"
"107"	"Александров_В.И_Прогул_1930.txt"	312	63	195	3	6	"4"
"108"	"Александров_В.И_Прогул_1930.txt"	312	63	196	4	7	"4"
"109"	"Александров_В.И_Прогул_1930.txt"	312	64	197	1	8	"4"
"110"	"Александров_В.И_Прогул_1930.txt"	312	65	198	1	13	"4"
"111"	"Александров_В.И_Прогул_1930.txt"	312	65	199	2	23	"4"
"112"	"Александров_В.И_Прогул_1930.txt"	312	66	29	1	1	"4"
"113"	"Александров_В.И_Прогул_1930.txt"	312	67	30	1	10	"4"
"114"	"Александров_В.И_Прогул_1930.txt"	312	68	200	1	50	"4"
"115"	"Александров_В.И_Прогул_1930.txt"	312	68	201	2	3	"4"
"116"	"Александров_В.И_Прогул_1930.txt"	312	69	202	1	1	"4"
"117"	"Александров_В.И_Прогул_1930.txt"	312	70	203	1	4	"4"
"118"	"Александров_В.И_Прогул_1930.txt"	312	71	204	1	16	"4"
"119"	"Александров_В.И_Прогул_1930.txt"	312	72	31	1	4	"4"
"120"	"Александров_В.И_Прогул_1930.txt"	312	73	205	1	13	"4"
"121"	"Александров_В.И_Прогул_1930.txt"	312	73	206	2	7	"4"
"122"	"Александров_В.И_Прогул_1930.txt"	312	73	207	3	9	"4"
"123"	"Александров_В.И_Прогул_1930.txt"	312	74	32	1	4	"4"
"124"	"Александров_В.И_Прогул_1930.txt"	312	76	208	1	14	"4"
"125"	"Александров_В.И_Прогул_1930.txt"	312	76	209	2	3	"4"
"126"	"Александров_В.И_Прогул_1930.txt"	312	77	34	1	4	"4"
"127"	"Александров_В.И_Прогул_1930.txt"	312	77	35	2	6	"4"
"128"	"Александров_В.И_Прогул_1930.txt"	312	78	210	1	7	"4"
"129"	"Александров_В.И_Прогул_1930.txt"	312	79	211	1	1	"4"
"130"	"Александров_В.И_Прогул_1930.txt"	312	80	212	1	5	"4"
"131"	"Александров_В.И_Прогул_1930.txt"	312	80	213	2	4	"4"
"132"	"Александров_В.И_Прогул_1930.txt"	312	81	214	1	2	"5"
"133"	"Александров_В.И_Прогул_1930.txt"	312	81	215	2	1	"5"
"134"	"Александров_В.И_Прогул_1930.txt"	312	81	216	3	3	"5"
"135"	"Александров_В.И_Прогул_1930.txt"	312	82	217	1	12	"5"
"136"	"Александров_В.И_Прогул_1930.txt"	312	84	37	1	11	"5"
"137"	"Александров_В.И_Прогул_1930.txt"	312	84	38	2	5	"5"
"138"	"Александров_В.И_Прогул_1930.txt"	312	84	39	3	4	"5"
"139"	"Александров_В.И_Прогул_1930.txt"	312	84	40	4	4	"5"
"140"	"Александров_В.И_Прогул_1930.txt"	312	85	41	1	8	"5"
"141"	"Александров_В.И_Прогул_1930.txt"	312	85	42	2	4	"5"
"142"	"Александров_В.И_Прогул_1930.txt"	312	85	43	3	4	"5"
"143"	"Александров_В.И_Прогул_1930.txt"	312	85	44	4	7	"5"
"144"	"Александров_В.И_Прогул_1930.txt"	312	86	218	1	9	"5"
"145"	"Александров_В.И_Прогул_1930.txt"	312	87	219	1	8	"5"
