"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"Александров_В.И_Прогул_1930.txt"	312	1	1	1	12	"1"
"2"	"Александров_В.И_Прогул_1930.txt"	312	3	2	1	2	"1"
"3"	"Александров_В.И_Прогул_1930.txt"	312	3	3	2	6	"1"
"4"	"Александров_В.И_Прогул_1930.txt"	312	8	4	1	2	"1"
"5"	"Александров_В.И_Прогул_1930.txt"	312	10	5	1	6	"1"
"6"	"Александров_В.И_Прогул_1930.txt"	312	12	6	1	26	"1"
"7"	"Александров_В.И_Прогул_1930.txt"	312	16	8	1	3	"1"
"8"	"Александров_В.И_Прогул_1930.txt"	312	17	9	1	11	"1"
"9"	"Александров_В.И_Прогул_1930.txt"	312	17	10	2	6	"1"
"10"	"Александров_В.И_Прогул_1930.txt"	312	17	11	3	4	"1"
"11"	"Александров_В.И_Прогул_1930.txt"	312	19	12	1	1	"1"
"12"	"Александров_В.И_Прогул_1930.txt"	312	19	13	2	5	"2"
"13"	"Александров_В.И_Прогул_1930.txt"	312	24	14	1	4	"2"
"14"	"Александров_В.И_Прогул_1930.txt"	312	24	15	2	3	"2"
"15"	"Александров_В.И_Прогул_1930.txt"	312	24	16	3	17	"2"
"16"	"Александров_В.И_Прогул_1930.txt"	312	25	17	1	3	"2"
"17"	"Александров_В.И_Прогул_1930.txt"	312	25	18	2	4	"2"
"18"	"Александров_В.И_Прогул_1930.txt"	312	26	19	1	6	"2"
"19"	"Александров_В.И_Прогул_1930.txt"	312	27	20	1	13	"2"
"20"	"Александров_В.И_Прогул_1930.txt"	312	28	21	1	6	"2"
"21"	"Александров_В.И_Прогул_1930.txt"	312	29	22	1	7	"2"
"22"	"Александров_В.И_Прогул_1930.txt"	312	41	23	1	2	"2"
"23"	"Александров_В.И_Прогул_1930.txt"	312	46	24	1	5	"3"
"24"	"Александров_В.И_Прогул_1930.txt"	312	56	25	1	2	"3"
"25"	"Александров_В.И_Прогул_1930.txt"	312	59	26	1	14	"3"
"26"	"Александров_В.И_Прогул_1930.txt"	312	61	27	1	13	"3"
"27"	"Александров_В.И_Прогул_1930.txt"	312	62	28	1	6	"3"
"28"	"Александров_В.И_Прогул_1930.txt"	312	66	29	1	1	"3"
"29"	"Александров_В.И_Прогул_1930.txt"	312	67	30	1	10	"3"
"30"	"Александров_В.И_Прогул_1930.txt"	312	72	31	1	4	"3"
"31"	"Александров_В.И_Прогул_1930.txt"	312	74	32	1	4	"3"
"32"	"Александров_В.И_Прогул_1930.txt"	312	77	34	1	4	"3"
"33"	"Александров_В.И_Прогул_1930.txt"	312	77	35	2	6	"3"
"34"	"Александров_В.И_Прогул_1930.txt"	312	84	37	1	11	"4"
"35"	"Александров_В.И_Прогул_1930.txt"	312	84	38	2	5	"4"
"36"	"Александров_В.И_Прогул_1930.txt"	312	84	39	3	4	"4"
"37"	"Александров_В.И_Прогул_1930.txt"	312	84	40	4	4	"4"
"38"	"Александров_В.И_Прогул_1930.txt"	312	85	41	1	8	"4"
"39"	"Александров_В.И_Прогул_1930.txt"	312	85	42	2	4	"4"
"40"	"Александров_В.И_Прогул_1930.txt"	312	85	43	3	4	"4"
"41"	"Александров_В.И_Прогул_1930.txt"	312	85	44	4	7	"4"
"42"	"Александров_В.И_Прогул_1930.txt"	312	90	45	1	12	"4"
"43"	"Александров_В.И_Прогул_1930.txt"	312	94	46	1	2	"4"
"44"	"Александров_В.И_Прогул_1930.txt"	312	97	47	1	6	"5"
"45"	"Александров_В.И_Прогул_1930.txt"	312	101	48	1	14	"5"
"46"	"Александров_В.И_Прогул_1930.txt"	312	102	49	1	4	"5"
"47"	"Александров_В.И_Прогул_1930.txt"	312	102	50	2	9	"5"
"48"	"Александров_В.И_Прогул_1930.txt"	312	104	51	1	7	"5"
"49"	"Александров_В.И_Прогул_1930.txt"	312	110	53	2	10	"5"
"50"	"Александров_В.И_Прогул_1930.txt"	312	112	55	1	8	"5"
"51"	"Александров_В.И_Прогул_1930.txt"	312	112	56	2	4	"5"
"52"	"Александров_В.И_Прогул_1930.txt"	312	116	57	1	1	"5"
"53"	"Александров_В.И_Прогул_1930.txt"	312	120	58	1	2	"5"
"54"	"Александров_В.И_Прогул_1930.txt"	312	121	59	1	8	"5"
"55"	"Александров_В.И_Прогул_1930.txt"	312	121	60	2	7	"6"
"56"	"Александров_В.И_Прогул_1930.txt"	312	121	61	3	20	"6"
"57"	"Александров_В.И_Прогул_1930.txt"	312	122	62	1	18	"6"
"58"	"Александров_В.И_Прогул_1930.txt"	312	124	63	1	8	"6"
"59"	"Александров_В.И_Прогул_1930.txt"	312	124	64	2	7	"6"
"60"	"Александров_В.И_Прогул_1930.txt"	312	124	65	3	11	"6"
"61"	"Александров_В.И_Прогул_1930.txt"	312	124	66	4	9	"6"
"62"	"Александров_В.И_Прогул_1930.txt"	312	124	67	5	11	"6"
"63"	"Александров_В.И_Прогул_1930.txt"	312	126	68	1	14	"6"
"64"	"Александров_В.И_Прогул_1930.txt"	312	127	69	1	13	"6"
"65"	"Александров_В.И_Прогул_1930.txt"	312	130	70	1	3	"6"
"66"	"Александров_В.И_Прогул_1930.txt"	312	132	71	1	6	"7"
"67"	"Александров_В.И_Прогул_1930.txt"	312	133	72	1	8	"7"
"68"	"Александров_В.И_Прогул_1930.txt"	312	134	73	1	4	"7"
"69"	"Александров_В.И_Прогул_1930.txt"	312	134	74	2	5	"7"
"70"	"Александров_В.И_Прогул_1930.txt"	312	136	75	1	3	"7"
"71"	"Александров_В.И_Прогул_1930.txt"	312	136	76	2	21	"7"
"72"	"Александров_В.И_Прогул_1930.txt"	312	137	77	1	17	"7"
"73"	"Александров_В.И_Прогул_1930.txt"	312	139	79	1	6	"7"
"74"	"Александров_В.И_Прогул_1930.txt"	312	140	80	1	5	"7"
"75"	"Александров_В.И_Прогул_1930.txt"	312	140	81	2	10	"7"
"76"	"Александров_В.И_Прогул_1930.txt"	312	142	82	1	9	"8"
"77"	"Александров_В.И_Прогул_1930.txt"	312	145	83	1	5	"8"
"78"	"Александров_В.И_Прогул_1930.txt"	312	149	85	1	9	"8"
"79"	"Александров_В.И_Прогул_1930.txt"	312	149	86	2	4	"8"
"80"	"Александров_В.И_Прогул_1930.txt"	312	149	87	3	1	"8"
"81"	"Александров_В.И_Прогул_1930.txt"	312	149	88	4	3	"8"
"82"	"Александров_В.И_Прогул_1930.txt"	312	149	89	5	8	"8"
"83"	"Александров_В.И_Прогул_1930.txt"	312	150	90	1	11	"8"
"84"	"Александров_В.И_Прогул_1930.txt"	312	152	91	1	4	"8"
"85"	"Александров_В.И_Прогул_1930.txt"	312	153	92	1	16	"8"
"86"	"Александров_В.И_Прогул_1930.txt"	312	154	93	1	19	"8"
"87"	"Александров_В.И_Прогул_1930.txt"	312	155	94	1	17	"9"
"88"	"Александров_В.И_Прогул_1930.txt"	312	156	95	1	19	"9"
"89"	"Александров_В.И_Прогул_1930.txt"	312	157	96	1	1	"9"
"90"	"Александров_В.И_Прогул_1930.txt"	312	158	97	1	2	"9"
"91"	"Александров_В.И_Прогул_1930.txt"	312	158	98	2	17	"9"
"92"	"Александров_В.И_Прогул_1930.txt"	312	159	99	1	5	"9"
"93"	"Александров_В.И_Прогул_1930.txt"	312	159	100	2	5	"9"
"94"	"Александров_В.И_Прогул_1930.txt"	312	162	101	1	2	"9"
"95"	"Александров_В.И_Прогул_1930.txt"	312	162	102	2	9	"9"
"96"	"Александров_В.И_Прогул_1930.txt"	312	165	103	1	8	"9"
"97"	"Александров_В.И_Прогул_1930.txt"	312	167	104	1	3	"9"
"98"	"Александров_В.И_Прогул_1930.txt"	312	171	105	1	9	"10"
"99"	"Александров_В.И_Прогул_1930.txt"	312	174	106	1	10	"10"
"100"	"Александров_В.И_Прогул_1930.txt"	312	176	107	1	9	"10"
"101"	"Александров_В.И_Прогул_1930.txt"	312	178	108	1	6	"10"
"102"	"Александров_В.И_Прогул_1930.txt"	312	184	109	1	6	"10"
"103"	"Александров_В.И_Прогул_1930.txt"	312	184	110	2	4	"10"
"104"	"Александров_В.И_Прогул_1930.txt"	312	184	111	3	3	"10"
"105"	"Александров_В.И_Прогул_1930.txt"	312	189	112	1	12	"10"
"106"	"Александров_В.И_Прогул_1930.txt"	312	196	113	1	24	"10"
"107"	"Александров_В.И_Прогул_1930.txt"	312	197	114	1	9	"10"
"108"	"Александров_В.И_Прогул_1930.txt"	312	198	115	1	1	"10"
