"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	1	3	"1"
"2"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	2	1	"1"
"3"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	3	8	"1"
"4"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	4	1	"1"
"5"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	5	1	"1"
"6"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	6	1	"2"
"7"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	7	1	"2"
"8"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	8	1	"2"
"9"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	9	1	"2"
"10"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	10	1	"3"
"11"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	11	3	"3"
"12"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	12	2	"3"
"13"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	13	7	"3"
"14"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	14	1	"4"
"15"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	15	2	"4"
"16"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	16	2	"4"
"17"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	17	5	"4"
"18"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	18	2	"5"
"19"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	19	1	"5"
"20"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	20	1	"5"
"21"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	21	4	"5"
"22"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	22	1	"5"
"23"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	23	2	"6"
"24"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	24	1	"6"
"25"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	25	3	"6"
"26"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	26	2	"6"
"27"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	27	1	"7"
"28"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	28	1	"7"
"29"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	29	4	"7"
"30"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	30	2	"7"
"31"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	31	3	"8"
"32"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	32	3	"8"
"33"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	33	3	"8"
"34"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	34	2	"8"
"35"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	35	1	"9"
"36"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	36	2	"9"
"37"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	37	1	"9"
"38"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	38	1	"9"
"39"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	39	2	"10"
"40"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	40	1	"10"
"41"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	26	"10"
"42"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	42	3	"10"
"43"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	43	1	"10"
