"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	1	3	"1"
"2"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	2	1	"1"
"3"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	3	8	"1"
"4"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	4	1	"2"
"5"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	5	1	"2"
"6"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	6	1	"3"
"7"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	7	1	"3"
"8"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	19	1	"4"
"9"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	28	1	"4"
"10"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	29	4	"4"
"11"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	30	2	"5"
"12"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	31	3	"5"
"13"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	32	3	"6"
"14"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	33	3	"6"
"15"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	34	2	"7"
"16"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	35	1	"7"
"17"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	36	2	"7"
"18"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	37	1	"8"
"19"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	38	1	"8"
"20"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	39	2	"9"
"21"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	40	1	"9"
"22"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	41	26	"10"
"23"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	42	3	"10"
"24"	"Альтерсон_Г.П_Прощальные_визиты_века_1900.txt"	314	43	1	"10"
