"group"	"mean_sent"	"scaled_sent"	"scaled_sent_div"
"1"	"1"	24.7692307692308	24.9775641025641	2.14317165135164
"2"	"2"	21.6666666666667	21.3952991452991	1.83579945634834
"3"	"3"	17.75	20.2222222222222	1.73514491709585
"4"	"4"	21.25	17.6111111111111	1.51110147999831
"5"	"5"	13.8333333333333	18.5277777777778	1.58975502706447
"6"	"6"	20.5	16.3888888888889	1.4062300839101
"7"	"7"	14.8333333333333	16.1388888888889	1.38477911652842
"8"	"8"	13.0833333333333	14.9166666666667	1.27990772044021
"9"	"9"	16.8333333333333	13.4850427350427	1.15706884739982
"10"	"10"	10.5384615384615	11.5384615384615	0.990044648385205
