"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	1.66666666666667	1.375	0.589619577658235
"2"	"2"	2.5	1.88888888888889	0.809982450116363
"3"	"3"	1.5	2.36111111111111	1.01247806264545
"4"	"4"	3.08333333333333	2.47222222222222	1.06012408912289
"5"	"5"	2.83333333333333	3.16666666666667	1.35791175460684
"6"	"6"	3.58333333333333	3.16666666666667	1.35791175460684
"7"	"7"	3.08333333333333	4.38888888888889	1.88201804585861
"8"	"8"	6.5	4.22222222222222	1.81054900614246
"9"	"9"	3.08333333333333	4.5	1.92966407233604
"10"	"10"	3.91666666666667	3.91666666666667	1.67952243332952
