"doc_id"	"id"	"par_id"	"sent_gen"	"sent_loc"	"word_n"	"group"
"1"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	1	1	1	6	"1"
"2"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	2	2	1	22	"1"
"3"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	3	3	1	10	"1"
"4"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	3	4	2	11	"1"
"5"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	4	5	1	6	"1"
"6"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	5	6	1	11	"1"
"7"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	6	7	1	7	"1"
"8"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	7	8	1	7	"1"
"9"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	8	315	1	19	"1"
"10"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	9	9	1	7	"1"
"11"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	9	10	2	8	"1"
"12"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	9	11	3	28	"1"
"13"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	10	12	1	3	"1"
"14"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	10	13	2	1	"1"
"15"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	10	14	3	6	"1"
"16"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	11	15	1	4	"1"
"17"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	12	16	1	9	"1"
"18"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	12	17	2	11	"1"
"19"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	12	18	3	28	"1"
"20"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	12	19	4	23	"1"
"21"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	13	20	1	29	"1"
"22"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	14	316	1	4	"1"
"23"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	15	21	1	6	"1"
"24"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	16	317	1	7	"1"
