"doc_id"	"id"	"par_id"	"sent_n"	"group"
"1"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	1	1	"1"
"2"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	2	1	"1"
"3"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	3	2	"1"
"4"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	4	1	"1"
"5"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	5	1	"1"
"6"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	6	1	"1"
"7"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	7	1	"1"
"8"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	9	3	"1"
"9"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	10	3	"1"
"10"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	11	1	"1"
"11"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	12	4	"1"
"12"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	13	1	"2"
"13"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	15	1	"2"
"14"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	17	1	"2"
"15"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	18	1	"2"
"16"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	19	2	"2"
"17"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	20	1	"2"
"18"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	21	1	"2"
"19"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	22	1	"2"
"20"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	23	1	"2"
"21"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	24	3	"2"
"22"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	25	1	"2"
"23"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	26	1	"3"
"24"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	27	1	"3"
"25"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	28	2	"3"
"26"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	29	2	"3"
"27"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	30	2	"3"
"28"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	31	2	"3"
"29"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	32	2	"3"
"30"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	33	1	"3"
"31"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	34	1	"3"
"32"	"amfiteatrov_a_kurortnij_muzh_1911.txt"	1	35	2	"3"
