"group"	"mean_par"	"scaled_par"	"scaled_par_div"
"1"	"1"	1.72727272727273	0.813636363636364	0.335918338545187
"2"	"2"	1.27272727272727	1.51515151515152	0.625546254274091
"3"	"3"	1.54545454545455	1.97272727272727	0.814461223064867
"4"	"4"	3.1	2.30606060606061	0.952081399005167
"5"	"5"	2.27272727272727	3.0030303030303	1.23983267597125
"6"	"6"	3.63636363636364	3.2030303030303	1.32240478153543
"7"	"7"	3.7	3.93030303030303	1.62266698358699
"8"	"8"	4.45454545454545	4.02121212121212	1.66019975884344
"9"	"9"	3.90909090909091	3.96969696969697	1.63893118619812
"10"	"10"	3.54545454545455	3.65	1.50694092654629
