"document"	"topic"	"gamma"
"1"	"1001_Завирайка.txt"	8	0.880708064022561
"2"	"1001_Завирайка.txt"	1	0.119175975565657
"3"	"1001_Завирайка.txt"	6	1.44950514730023e-05
"4"	"1001_Завирайка.txt"	10	1.44950514729535e-05
"5"	"1001_Завирайка.txt"	7	1.44950514729286e-05
"6"	"1001_Завирайка.txt"	5	1.44950514728144e-05
"7"	"1001_Завирайка.txt"	2	1.44950514728138e-05
"8"	"1001_Завирайка.txt"	4	1.44950514727233e-05
"9"	"1001_Завирайка.txt"	9	1.44950514726679e-05
"10"	"1001_Завирайка.txt"	3	1.44950514725629e-05
"11"	"1002_Речной_хищник.txt"	4	0.999928797396235
"12"	"1002_Речной_хищник.txt"	6	7.91140041852443e-06
"13"	"1002_Речной_хищник.txt"	7	7.91140041850245e-06
"14"	"1002_Речной_хищник.txt"	10	7.91140041842788e-06
"15"	"1002_Речной_хищник.txt"	9	7.91140041837489e-06
"16"	"1002_Речной_хищник.txt"	3	7.91140041836782e-06
"17"	"1002_Речной_хищник.txt"	8	7.9114004183663e-06
"18"	"1002_Речной_хищник.txt"	5	7.91140041834698e-06
"19"	"1002_Речной_хищник.txt"	1	7.91140041833594e-06
"20"	"1002_Речной_хищник.txt"	2	7.91140041805188e-06
"21"	"1003_Кто_катался_на_машине.txt"	1	0.999022885676191
"22"	"1003_Кто_катался_на_машине.txt"	6	0.000108568258201035
"23"	"1003_Кто_катался_на_машине.txt"	2	0.00010856825820103
"24"	"1003_Кто_катался_на_машине.txt"	8	0.000108568258201024
"25"	"1003_Кто_катался_на_машине.txt"	10	0.000108568258200976
"26"	"1003_Кто_катался_на_машине.txt"	3	0.000108568258200957
"27"	"1003_Кто_катался_на_машине.txt"	5	0.000108568258200954
"28"	"1003_Кто_катался_на_машине.txt"	7	0.00010856825820095
"29"	"1003_Кто_катался_на_машине.txt"	4	0.000108568258200938
"30"	"1003_Кто_катался_на_машине.txt"	9	0.000108568258200865
"31"	"1011_Длиннобородый_и_Широкорогий.txt"	4	0.829491101407169
"32"	"1011_Длиннобородый_и_Широкорогий.txt"	2	0.170428926599028
"33"	"1011_Длиннобородый_и_Широкорогий.txt"	6	9.99649922567534e-06
"34"	"1011_Длиннобородый_и_Широкорогий.txt"	7	9.99649922547024e-06
"35"	"1011_Длиннобородый_и_Широкорогий.txt"	8	9.99649922540116e-06
"36"	"1011_Длиннобородый_и_Широкорогий.txt"	3	9.996499225399e-06
"37"	"1011_Длиннобородый_и_Широкорогий.txt"	9	9.99649922539246e-06
"38"	"1011_Длиннобородый_и_Широкорогий.txt"	10	9.99649922529911e-06
"39"	"1011_Длиннобородый_и_Широкорогий.txt"	5	9.99649922525412e-06
"40"	"1011_Длиннобородый_и_Широкорогий.txt"	1	9.99649922511105e-06
"41"	"1012_Улунь.txt"	2	0.883135477268292
"42"	"1012_Улунь.txt"	4	0.116819714271273
"43"	"1012_Улунь.txt"	6	5.60105755514277e-06
"44"	"1012_Улунь.txt"	7	5.60105755500398e-06
"45"	"1012_Улунь.txt"	3	5.60105755482662e-06
"46"	"1012_Улунь.txt"	9	5.6010575547008e-06
"47"	"1012_Улунь.txt"	5	5.60105755417429e-06
"48"	"1012_Улунь.txt"	10	5.60105755408656e-06
"49"	"1012_Улунь.txt"	8	5.60105755369994e-06
"50"	"1012_Улунь.txt"	1	5.60105755306513e-06
"51"	"1018_Три_инвалида.txt"	3	0.999846004117109
"52"	"1018_Три_инвалида.txt"	5	1.71106536547858e-05
"53"	"1018_Три_инвалида.txt"	6	1.71106536547405e-05
"54"	"1018_Три_инвалида.txt"	8	1.71106536546691e-05
"55"	"1018_Три_инвалида.txt"	7	1.7110653654636e-05
"56"	"1018_Три_инвалида.txt"	9	1.71106536545913e-05
"57"	"1018_Три_инвалида.txt"	10	1.71106536545448e-05
"58"	"1018_Три_инвалида.txt"	2	1.71106536544769e-05
"59"	"1018_Три_инвалида.txt"	1	1.71106536543942e-05
"60"	"1018_Три_инвалида.txt"	4	1.71106536543506e-05
"61"	"1026_Красный_сигнал.txt"	1	0.580489952847332
"62"	"1026_Красный_сигнал.txt"	5	0.419139438871625
"63"	"1026_Красный_сигнал.txt"	9	4.63260351305328e-05
"64"	"1026_Красный_сигнал.txt"	10	4.63260351304622e-05
"65"	"1026_Красный_сигнал.txt"	4	4.63260351304368e-05
"66"	"1026_Красный_сигнал.txt"	2	4.63260351304206e-05
"67"	"1026_Красный_сигнал.txt"	6	4.63260351304057e-05
"68"	"1026_Красный_сигнал.txt"	8	4.63260351303581e-05
"69"	"1026_Красный_сигнал.txt"	7	4.63260351303527e-05
"70"	"1026_Красный_сигнал.txt"	3	4.63260351302623e-05
"71"	"1027_Королева_-_золотые_пятки.txt"	5	0.769938092400548
"72"	"1027_Королева_-_золотые_пятки.txt"	9	0.186708019029936
"73"	"1027_Королева_-_золотые_пятки.txt"	6	0.0432210256925214
"74"	"1027_Королева_-_золотые_пятки.txt"	8	1.89804109995466e-05
"75"	"1027_Королева_-_золотые_пятки.txt"	1	1.89804109993527e-05
"76"	"1027_Королева_-_золотые_пятки.txt"	3	1.89804109993435e-05
"77"	"1027_Королева_-_золотые_пятки.txt"	4	1.89804109992432e-05
"78"	"1027_Королева_-_золотые_пятки.txt"	2	1.8980410999214e-05
"79"	"1027_Королева_-_золотые_пятки.txt"	7	1.89804109991819e-05
"80"	"1027_Королева_-_золотые_пятки.txt"	10	1.89804109991636e-05
"81"	"1076_Пудя.txt"	7	0.547213294502978
"82"	"1076_Пудя.txt"	9	0.452632018659919
"83"	"1076_Пудя.txt"	8	1.93358546382468e-05
"84"	"1076_Пудя.txt"	4	1.93358546379869e-05
"85"	"1076_Пудя.txt"	1	1.93358546379618e-05
"86"	"1076_Пудя.txt"	2	1.93358546379512e-05
"87"	"1076_Пудя.txt"	6	1.9335854637885e-05
"88"	"1076_Пудя.txt"	5	1.93358546378398e-05
"89"	"1076_Пудя.txt"	10	1.93358546378264e-05
"90"	"1076_Пудя.txt"	3	1.93358546376579e-05
"91"	"1077_.txt"	9	0.999721769651577
"92"	"1077_.txt"	1	3.09144831582163e-05
"93"	"1077_.txt"	4	3.09144831581757e-05
"94"	"1077_.txt"	10	3.09144831581687e-05
"95"	"1077_.txt"	3	3.09144831581312e-05
"96"	"1077_.txt"	6	3.09144831581259e-05
"97"	"1077_.txt"	2	3.09144831580586e-05
"98"	"1077_.txt"	5	3.09144831580577e-05
"99"	"1077_.txt"	8	3.09144831580357e-05
"100"	"1077_.txt"	7	3.09144831579967e-05
"101"	"1078_Тихон_Матвеич.txt"	3	0.681089224926052
"102"	"1078_Тихон_Матвеич.txt"	9	0.31876546149378
"103"	"1078_Тихон_Матвеич.txt"	4	1.81641975212095e-05
"104"	"1078_Тихон_Матвеич.txt"	6	1.81641975211152e-05
"105"	"1078_Тихон_Матвеич.txt"	1	1.81641975211129e-05
"106"	"1078_Тихон_Матвеич.txt"	7	1.81641975210745e-05
"107"	"1078_Тихон_Матвеич.txt"	2	1.81641975210305e-05
"108"	"1078_Тихон_Матвеич.txt"	8	1.81641975209655e-05
"109"	"1078_Тихон_Матвеич.txt"	10	1.81641975208903e-05
