"topic"	"term"	"beta"
"1"	1	"выдра"	0.0123077418809348
"2"	1	"нора"	0.00644980523355965
"3"	1	"кукла"	0.00428061419437822
"4"	1	"жук"	0.00407657342649231
"5"	1	"дурочка"	0.00375684214671294
"6"	2	"стадо"	0.0078524962425219
"7"	2	"олень"	0.00622297326205692
"8"	2	"рог"	0.00549092726531101
"9"	2	"лось"	0.00410085716381792
"10"	2	"куст"	0.00297082153637697
"11"	3	"сказка"	0.00669407688740344
"12"	3	"забава"	0.00652427923327834
"13"	3	"веселый"	0.00534439542465093
"14"	3	"смеяться"	0.00514119353887718
"15"	3	"произносить"	0.00471802461333731
"16"	4	"корабль"	0.00872855141481485
"17"	4	"эль"	0.00691010323230194
"18"	4	"судно"	0.00687821212844144
"19"	4	"братец"	0.00619875379924666
"20"	4	"лоло"	0.00424304584439592
"21"	5	"каменный"	0.00841980120738931
"22"	5	"царевна"	0.00655610505365361
"23"	5	"аист"	0.00365745924723809
"24"	5	"хлеб"	0.00305613834730966
"25"	5	"кухня"	0.00289730876746178
"26"	6	"санча"	0.00634370569381056
"27"	6	"гринч"	0.00499807115269923
"28"	6	"крыло"	0.00385260416780756
"29"	6	"утка"	0.00346020310571485
"30"	6	"река"	0.00345493369553294
"31"	7	"капитан"	0.00906892174586074
"32"	7	"борт"	0.00470843071442735
"33"	7	"палуба"	0.00411993169768155
"34"	7	"слон"	0.00298468332205615
"35"	7	"писать"	0.00298367728719657
"36"	8	"медведь"	0.00719610610738344
"37"	8	"сани"	0.005671864232122
"38"	8	"погонщик"	0.00473717326850575
"39"	8	"щенок"	0.00409119509552769
"40"	8	"пес"	0.0037822954337162
"41"	9	"хаврюша"	0.00993002070291325
"42"	9	"пальчик"	0.00921374094785254
"43"	9	"дуля"	0.00515745261314039
"44"	9	"ухо"	0.00485977713545949
"45"	9	"кончак"	0.00461861428042477
"46"	10	"пес"	0.0085016471386219
"47"	10	"самоед"	0.00421858274750122
"48"	10	"кошка"	0.00380965226588427
"49"	10	"клетка"	0.00306449329252414
"50"	10	"зверь"	0.00283338916927622
"51"	11	"кочерга"	0.00660602238307831
"52"	11	"слон"	0.00570976483588174
"53"	11	"лодка"	0.00523189382134748
"54"	11	"кучум"	0.00492011650751512
"55"	11	"река"	0.004284674528272
"56"	12	"произносить"	0.00612608836015167
"57"	12	"странный"	0.00366709484106986
"58"	12	"огонь"	0.00343862825782356
"59"	12	"монах"	0.00335934521416245
"60"	12	"повторять"	0.00276374623741536
"61"	13	"фалалей"	0.0140710835778814
"62"	13	"серый"	0.00766483427146882
"63"	13	"лодка"	0.0075715673067652
"64"	13	"конек"	0.00452570319259401
"65"	13	"горбунок"	0.0042789259996935
"66"	14	"боярин"	0.00745692611236989
"67"	14	"баркас"	0.00412309376790102
"68"	14	"угол"	0.00247232328040821
"69"	14	"игнатка"	0.00246154851814986
"70"	14	"волна"	0.00240000980519612
"71"	15	"дядя"	0.00861290571446544
"72"	15	"больной"	0.0037987169229855
"73"	15	"старушка"	0.00372373403435382
"74"	15	"изба"	0.00339805422724336
"75"	15	"продолжать"	0.00318254161758487
"76"	16	"семилетка"	0.0119949906566028
"77"	16	"свирель"	0.00647348702102373
"78"	16	"дар"	0.00533110695849013
"79"	16	"бурка"	0.00484739307590888
"80"	16	"сулейман"	0.00466471858867886
"81"	17	"нужно"	0.0034690310393596
"82"	17	"бургомистр"	0.00325261786919001
"83"	17	"шар"	0.00316702266210606
"84"	17	"книжка"	0.00298968349879768
"85"	17	"лобан"	0.00291023704085422
"86"	17	"дарж"	0.00291023704085422
"87"	18	"страна"	0.00459216911307232
"88"	18	"янти"	0.00315711626523722
"89"	18	"война"	0.00279830262664676
"90"	18	"каша"	0.00277443550581453
"91"	18	"суворов"	0.00267876531595886
"92"	19	"грач"	0.0138121195392552
"93"	19	"гнездо"	0.00911397350900337
"94"	19	"рыжий"	0.0066345386538208
"95"	19	"поезд"	0.00557151037962337
"96"	19	"путаница"	0.00476596996425097
"97"	20	"рыбка"	0.013320995480503
"98"	20	"золотой"	0.00831760961451522
"99"	20	"пруд"	0.00755976741976941
"100"	20	"рябчик"	0.00656287501276686
"101"	20	"окунь"	0.00581520570751494
"102"	21	"лапоть"	0.0069052861780594
"103"	21	"японец"	0.00606632617509257
"104"	21	"туз"	0.00393665847534228
"105"	21	"государыня"	0.00348382553164927
"106"	21	"трефовый"	0.00296862770271713
"107"	22	"коза"	0.00315651829487484
"108"	22	"медведь"	0.00311565292785048
"109"	22	"камень"	0.00302919666189409
"110"	22	"фиериль"	0.00300254179268537
"111"	22	"зверь"	0.00282118127088022
"112"	23	"царевна"	0.0143934347956591
"113"	23	"старуха"	0.00656590962859844
"114"	23	"царство"	0.00590586390966838
"115"	23	"старший"	0.00573157095457433
"116"	23	"принц"	0.00567249495864404
"117"	24	"цветок"	0.00827789355558582
"118"	24	"птичка"	0.00548966560568898
"119"	24	"весна"	0.00548904577811576
"120"	24	"крыло"	0.00397124451445835
"121"	24	"песня"	0.00380394229740297
