"document"	"topic"	"gamma"
"1"	"1001_Завирайка.txt"	5	0.999770240401836
"2"	"1001_Завирайка.txt"	12	8.83690762183472e-06
"3"	"1001_Завирайка.txt"	7	8.83690762176731e-06
"4"	"1001_Завирайка.txt"	15	8.83690762176563e-06
"5"	"1001_Завирайка.txt"	21	8.83690762175189e-06
"6"	"1001_Завирайка.txt"	10	8.83690762173885e-06
"7"	"1001_Завирайка.txt"	9	8.83690762172994e-06
"8"	"1001_Завирайка.txt"	3	8.836907621725e-06
"9"	"1001_Завирайка.txt"	25	8.83690762171788e-06
"10"	"1001_Завирайка.txt"	19	8.83690762171778e-06
"11"	"1001_Завирайка.txt"	14	8.8369076217118e-06
"12"	"1001_Завирайка.txt"	24	8.83690762170803e-06
"13"	"1001_Завирайка.txt"	27	8.83690762170774e-06
"14"	"1001_Завирайка.txt"	22	8.83690762169891e-06
"15"	"1001_Завирайка.txt"	26	8.83690762169568e-06
"16"	"1001_Завирайка.txt"	8	8.8369076216921e-06
"17"	"1001_Завирайка.txt"	16	8.836907621678e-06
"18"	"1001_Завирайка.txt"	11	8.8369076216765e-06
"19"	"1001_Завирайка.txt"	1	8.83690762167259e-06
"20"	"1001_Завирайка.txt"	18	8.83690762166896e-06
"21"	"1001_Завирайка.txt"	17	8.83690762163865e-06
"22"	"1001_Завирайка.txt"	6	8.83690762162943e-06
"23"	"1001_Завирайка.txt"	23	8.83690762162886e-06
"24"	"1001_Завирайка.txt"	13	8.83690762162786e-06
"25"	"1001_Завирайка.txt"	2	8.83690762162274e-06
"26"	"1001_Завирайка.txt"	4	8.8369076216223e-06
"27"	"1001_Завирайка.txt"	20	8.8369076215479e-06
"28"	"1002_Речной_хищник.txt"	1	0.593283467404535
"29"	"1002_Речной_хищник.txt"	2	0.406598825007774
"30"	"1002_Речной_хищник.txt"	14	4.70830350777996e-06
"31"	"1002_Речной_хищник.txt"	7	4.70830350777575e-06
"32"	"1002_Речной_хищник.txt"	21	4.70830350774007e-06
"33"	"1002_Речной_хищник.txt"	8	4.70830350772716e-06
"34"	"1002_Речной_хищник.txt"	6	4.70830350772112e-06
"35"	"1002_Речной_хищник.txt"	26	4.70830350770375e-06
"36"	"1002_Речной_хищник.txt"	11	4.7083035076917e-06
"37"	"1002_Речной_хищник.txt"	17	4.708303507687e-06
"38"	"1002_Речной_хищник.txt"	18	4.70830350768388e-06
"39"	"1002_Речной_хищник.txt"	24	4.70830350768197e-06
"40"	"1002_Речной_хищник.txt"	27	4.70830350767998e-06
"41"	"1002_Речной_хищник.txt"	10	4.70830350767936e-06
"42"	"1002_Речной_хищник.txt"	9	4.70830350767452e-06
"43"	"1002_Речной_хищник.txt"	3	4.70830350767359e-06
