"topic"	"term"	"beta"
"1"	1	"грач"	0.0124921172647477
"2"	1	"гнездо"	0.0109602841222874
"3"	1	"крыло"	0.00493209011845866
"4"	1	"грачонок"	0.00448308821292844
"5"	1	"стая"	0.00444847374025006
"6"	2	"ворота"	0.00304322954512395
"7"	2	"рот"	0.00278548074590138
"8"	2	"палец"	0.00277243114373824
"9"	2	"стена"	0.00246146239143998
"10"	2	"земляк"	0.00227474372160041
"11"	3	"кочерга"	0.015497841223344
"12"	3	"серый"	0.0118480452711478
"13"	3	"дед"	0.00488670669233541
"14"	3	"мир"	0.0039175735341666
"15"	3	"лу"	0.00363012497144916
"16"	4	"пес"	0.00637299398797805
"17"	4	"самоед"	0.0039731023162022
"18"	4	"княгиня"	0.00369680197130785
"19"	4	"зверь"	0.00367610484000613
"20"	4	"собачка"	0.00344187364217761
"21"	5	"странный"	0.00496755325914455
"22"	5	"монах"	0.00381954606252147
"23"	5	"учитель"	0.00362353093765956
"24"	5	"страна"	0.00320450236170711
"25"	5	"подле"	0.00307470607009457
"26"	6	"капитан"	0.0120773260681849
"27"	6	"борт"	0.00629049256667114
"28"	6	"судно"	0.00591676711025643
"29"	6	"палуба"	0.00494355161651693
"30"	6	"шлюпка"	0.00449706719930218
"31"	7	"цыпка"	0.00431847847443289
"32"	7	"колечко"	0.00414571653673388
"33"	7	"река"	0.00408216684564643
"34"	7	"косарев"	0.00371389148801228
"35"	7	"хребет"	0.00371327078152311
"36"	8	"баркас"	0.00401004157891718
"37"	8	"крыло"	0.00320559993009701
"38"	8	"камень"	0.00311589021866649
"39"	8	"рыбак"	0.0028792700057547
"40"	8	"спина"	0.00287250374352313
"41"	9	"рябчик"	0.0062002881318934
"42"	9	"цветок"	0.00370048547480216
"43"	9	"личинка"	0.0036102943552797
"44"	9	"галерея"	0.00313938639589539
"45"	9	"стена"	0.00294856441975713
"46"	10	"лодка"	0.0040663893070277
"47"	10	"рыжий"	0.0036413538299258
"48"	10	"чай"	0.00311018340809692
"49"	10	"поезд"	0.00292470920017843
"50"	10	"машина"	0.00279634638661415
"51"	11	"лапоть"	0.00769903162891516
"52"	11	"рыжий"	0.00591891072766557
"53"	11	"японец"	0.00513268775354009
"54"	11	"школа"	0.00456733576809605
"55"	11	"путаница"	0.00346803226590547
"56"	12	"мистер"	0.00397379786217916
"57"	12	"кукла"	0.0037861304820047
"58"	12	"эль"	0.00353916372100331
"59"	12	"кабель"	0.00298034839663437
"60"	12	"угол"	0.00238029281303029
"61"	13	"есть"	0.00448255684212819
"62"	13	"лось"	0.00403950192534564
"63"	13	"озеро"	0.00356550622691712
"64"	13	"дядя"	0.00353402183031048
"65"	13	"хлеб"	0.00322752703690589
"66"	14	"слон"	0.0142286913731074
"67"	14	"хобот"	0.00594485897347411
"68"	14	"картина"	0.00548722157444219
"69"	14	"юноша"	0.00448301235046458
"70"	14	"васильич"	0.00311855104658904
"71"	15	"государыня"	0.00358913457888638
"72"	15	"боярин"	0.00357295806001895
"73"	15	"старушка"	0.00316853053576739
"74"	15	"отзываться"	0.00315182232073462
"75"	15	"находиться"	0.0031126725440311
"76"	16	"огонь"	0.00433639685171311
"77"	16	"изба"	0.00275272389162588
"78"	16	"феофан"	0.00250247626511444
"79"	16	"дама"	0.00241831066526718
"80"	16	"страшно"	0.00230773127754505
"81"	17	"лодка"	0.00647806367410557
"82"	17	"река"	0.00527777779426315
"83"	17	"братец"	0.00386447219575599
"84"	17	"посылать"	0.00344483816655876
"85"	17	"письмо"	0.00330490427774838
"86"	18	"выдра"	0.0115791038980248
"87"	18	"нора"	0.00711810194624215
"88"	18	"муравей"	0.00466171715375023
"89"	18	"бурка"	0.00353388235848808
"90"	18	"поверхность"	0.00347482301593018
"91"	19	"корабль"	0.00799262880482965
"92"	19	"олень"	0.00633694529103488
"93"	19	"лодка"	0.00599070552439987
"94"	19	"стадо"	0.00407943237352237
"95"	19	"рог"	0.00377008137567898
"96"	20	"медведь"	0.00338207758875587
"97"	20	"железный"	0.00314012463710582
"98"	20	"школа"	0.00296394166566548
"99"	20	"сестра"	0.00295956651321618
"100"	20	"волька"	0.00286569905042388
"101"	21	"весна"	0.0053859021978543
"102"	21	"крыло"	0.00425846715364727
"103"	21	"жрец"	0.00423802354767289
"104"	21	"птичка"	0.00371018825458232
"105"	21	"камешек"	0.00311500342712187
"106"	22	"пес"	0.00498234132535473
"107"	22	"кошка"	0.00441061771414708
"108"	22	"дядя"	0.00440225877133213
"109"	22	"сани"	0.00426566402168323
"110"	22	"погонщик"	0.00373448468236497
