"document"	"topic"	"gamma"
"1"	"1001_Завирайка.txt"	22	0.999823363737664
"2"	"1001_Завирайка.txt"	4	8.41125058750602e-06
"3"	"1001_Завирайка.txt"	12	8.41125058748085e-06
"4"	"1001_Завирайка.txt"	20	8.41125058747641e-06
"5"	"1001_Завирайка.txt"	15	8.41125058747151e-06
"6"	"1001_Завирайка.txt"	5	8.4112505874548e-06
"7"	"1001_Завирайка.txt"	13	8.41125058744183e-06
"8"	"1001_Завирайка.txt"	21	8.41125058743158e-06
"9"	"1001_Завирайка.txt"	16	8.4112505874256e-06
"10"	"1001_Завирайка.txt"	8	8.41125058742421e-06
"11"	"1001_Завирайка.txt"	9	8.41125058742149e-06
"12"	"1001_Завирайка.txt"	2	8.41125058741109e-06
"13"	"1001_Завирайка.txt"	14	8.41125058740321e-06
"14"	"1001_Завирайка.txt"	6	8.4112505873998e-06
"15"	"1001_Завирайка.txt"	11	8.41125058739634e-06
"16"	"1001_Завирайка.txt"	3	8.411250587386e-06
"17"	"1001_Завирайка.txt"	19	8.41125058737497e-06
"18"	"1001_Завирайка.txt"	18	8.41125058735901e-06
"19"	"1001_Завирайка.txt"	17	8.41125058735758e-06
"20"	"1001_Завирайка.txt"	7	8.4112505873548e-06
"21"	"1001_Завирайка.txt"	10	8.41125058735222e-06
"22"	"1001_Завирайка.txt"	1	8.4112505873344e-06
"23"	"1002_Речной_хищник.txt"	18	0.999906162791547
"24"	"1002_Речной_хищник.txt"	15	4.46843849786949e-06
"25"	"1002_Речной_хищник.txt"	21	4.46843849784662e-06
"26"	"1002_Речной_хищник.txt"	13	4.46843849781561e-06
"27"	"1002_Речной_хищник.txt"	5	4.46843849781555e-06
"28"	"1002_Речной_хищник.txt"	7	4.46843849780428e-06
"29"	"1002_Речной_хищник.txt"	16	4.4684384978006e-06
"30"	"1002_Речной_хищник.txt"	6	4.46843849779177e-06
"31"	"1002_Речной_хищник.txt"	12	4.4684384977864e-06
"32"	"1002_Речной_хищник.txt"	19	4.46843849777937e-06
"33"	"1002_Речной_хищник.txt"	17	4.46843849776086e-06
"34"	"1002_Речной_хищник.txt"	9	4.46843849775206e-06
"35"	"1002_Речной_хищник.txt"	22	4.46843849774899e-06
"36"	"1002_Речной_хищник.txt"	14	4.46843849773934e-06
"37"	"1002_Речной_хищник.txt"	4	4.46843849773784e-06
"38"	"1002_Речной_хищник.txt"	1	4.46843849773717e-06
"39"	"1002_Речной_хищник.txt"	8	4.46843849773361e-06
"40"	"1002_Речной_хищник.txt"	11	4.46843849772251e-06
"41"	"1002_Речной_хищник.txt"	20	4.46843849771796e-06
"42"	"1002_Речной_хищник.txt"	2	4.46843849771469e-06
"43"	"1002_Речной_хищник.txt"	10	4.46843849769054e-06
"44"	"1002_Речной_хищник.txt"	3	4.46843849768439e-06
"45"	"1003_Кто_катался_на_машине.txt"	14	0.998729095470968
"46"	"1003_Кто_катался_на_машине.txt"	6	6.05192632872824e-05
"47"	"1003_Кто_катался_на_машине.txt"	10	6.05192632872777e-05
"48"	"1003_Кто_катался_на_машине.txt"	13	6.05192632872713e-05
"49"	"1003_Кто_катался_на_машине.txt"	20	6.05192632872678e-05
"50"	"1003_Кто_катался_на_машине.txt"	11	6.05192632872629e-05
"51"	"1003_Кто_катался_на_машине.txt"	12	6.05192632872542e-05
"52"	"1003_Кто_катался_на_машине.txt"	3	6.05192632872474e-05
"53"	"1003_Кто_катался_на_машине.txt"	16	6.05192632872436e-05
"54"	"1003_Кто_катался_на_машине.txt"	2	6.05192632872402e-05
"55"	"1003_Кто_катался_на_машине.txt"	19	6.05192632872355e-05
"56"	"1003_Кто_катался_на_машине.txt"	15	6.05192632872338e-05
"57"	"1003_Кто_катался_на_машине.txt"	18	6.05192632872277e-05
"58"	"1003_Кто_катался_на_машине.txt"	9	6.05192632872208e-05
"59"	"1003_Кто_катался_на_машине.txt"	17	6.051926328722e-05
"60"	"1003_Кто_катался_на_машине.txt"	22	6.05192632872127e-05
"61"	"1003_Кто_катался_на_машине.txt"	5	6.05192632872091e-05
"62"	"1003_Кто_катался_на_машине.txt"	4	6.05192632872086e-05
"63"	"1003_Кто_катался_на_машине.txt"	8	6.05192632872053e-05
"64"	"1003_Кто_катался_на_машине.txt"	7	6.05192632872053e-05
"65"	"1003_Кто_катался_на_машине.txt"	21	6.05192632872011e-05
"66"	"1003_Кто_катался_на_машине.txt"	1	6.0519263287181e-05
"67"	"1011_Длиннобородый_и_Широкорогий.txt"	13	0.999877792429225
"68"	"1011_Длиннобородый_и_Широкорогий.txt"	8	5.81940813230156e-06
"69"	"1011_Длиннобородый_и_Широкорогий.txt"	7	5.81940813223839e-06
"70"	"1011_Длиннобородый_и_Широкорогий.txt"	15	5.81940813221752e-06
"71"	"1011_Длиннобородый_и_Широкорогий.txt"	22	5.81940813221692e-06
"72"	"1011_Длиннобородый_и_Широкорогий.txt"	21	5.81940813219138e-06
"73"	"1011_Длиннобородый_и_Широкорогий.txt"	4	5.81940813215151e-06
"74"	"1011_Длиннобородый_и_Широкорогий.txt"	1	5.81940813214927e-06
"75"	"1011_Длиннобородый_и_Широкорогий.txt"	2	5.81940813213115e-06
"76"	"1011_Длиннобородый_и_Широкорогий.txt"	16	5.8194081321299e-06
"77"	"1011_Длиннобородый_и_Широкорогий.txt"	6	5.81940813212739e-06
"78"	"1011_Длиннобородый_и_Широкорогий.txt"	5	5.81940813211462e-06
"79"	"1011_Длиннобородый_и_Широкорогий.txt"	20	5.81940813210699e-06
"80"	"1011_Длиннобородый_и_Широкорогий.txt"	10	5.81940813210144e-06
"81"	"1011_Длиннобородый_и_Широкорогий.txt"	11	5.81940813210143e-06
"82"	"1011_Длиннобородый_и_Широкорогий.txt"	19	5.81940813210141e-06
"83"	"1011_Длиннобородый_и_Широкорогий.txt"	17	5.8194081320993e-06
"84"	"1011_Длиннобородый_и_Широкорогий.txt"	18	5.81940813209067e-06
"85"	"1011_Длиннобородый_и_Широкорогий.txt"	12	5.81940813208805e-06
"86"	"1011_Длиннобородый_и_Широкорогий.txt"	9	5.81940813202422e-06
"87"	"1011_Длиннобородый_и_Широкорогий.txt"	14	5.81940813199621e-06
"88"	"1011_Длиннобородый_и_Широкорогий.txt"	3	5.81940813197755e-06
"89"	"1012_Улунь.txt"	1	0.99993202333273
"90"	"1012_Улунь.txt"	18	3.23698415690943e-06
"91"	"1012_Улунь.txt"	13	3.23698415687612e-06
"92"	"1012_Улунь.txt"	4	3.2369841566441e-06
"93"	"1012_Улунь.txt"	3	3.23698415660837e-06
"94"	"1012_Улунь.txt"	8	3.2369841563769e-06
"95"	"1012_Улунь.txt"	7	3.23698415632674e-06
"96"	"1012_Улунь.txt"	21	3.23698415629307e-06
"97"	"1012_Улунь.txt"	9	3.23698415612302e-06
"98"	"1012_Улунь.txt"	22	3.23698415579281e-06
"99"	"1012_Улунь.txt"	10	3.23698415567211e-06
"100"	"1012_Улунь.txt"	16	3.23698415554246e-06
"101"	"1012_Улунь.txt"	19	3.23698415535468e-06
"102"	"1012_Улунь.txt"	5	3.23698415526462e-06
"103"	"1012_Улунь.txt"	20	3.23698415515258e-06
"104"	"1012_Улунь.txt"	17	3.23698415514074e-06
"105"	"1012_Улунь.txt"	6	3.23698415513876e-06
"106"	"1012_Улунь.txt"	12	3.23698415506765e-06
"107"	"1012_Улунь.txt"	11	3.23698415506481e-06
"108"	"1012_Улунь.txt"	15	3.23698415504118e-06
"109"	"1012_Улунь.txt"	2	3.23698415501512e-06
"110"	"1012_Улунь.txt"	14	3.236984154987e-06
"111"	"1018_Три_инвалида.txt"	9	0.99978929765782
"112"	"1018_Три_инвалида.txt"	2	1.00334448658315e-05
"113"	"1018_Три_инвалида.txt"	14	1.00334448658205e-05
"114"	"1018_Три_инвалида.txt"	7	1.00334448658063e-05
"115"	"1018_Три_инвалида.txt"	12	1.00334448657802e-05
"116"	"1018_Три_инвалида.txt"	10	1.00334448657789e-05
"117"	"1018_Три_инвалида.txt"	13	1.0033444865772e-05
"118"	"1018_Три_инвалида.txt"	16	1.00334448657624e-05
"119"	"1018_Три_инвалида.txt"	18	1.00334448657527e-05
"120"	"1018_Три_инвалида.txt"	4	1.00334448657519e-05
"121"	"1018_Три_инвалида.txt"	22	1.00334448657454e-05
"122"	"1018_Три_инвалида.txt"	19	1.00334448657152e-05
"123"	"1018_Три_инвалида.txt"	15	1.0033444865684e-05
"124"	"1018_Три_инвалида.txt"	5	1.00334448656794e-05
"125"	"1018_Три_инвалида.txt"	8	1.00334448656752e-05
"126"	"1018_Три_инвалида.txt"	6	1.00334448656669e-05
"127"	"1018_Три_инвалида.txt"	21	1.00334448656614e-05
"128"	"1018_Три_инвалида.txt"	11	1.00334448656515e-05
"129"	"1018_Три_инвалида.txt"	17	1.00334448656467e-05
"130"	"1018_Три_инвалида.txt"	1	1.0033444865635e-05
"131"	"1018_Три_инвалида.txt"	20	1.00334448656279e-05
"132"	"1018_Три_инвалида.txt"	3	1.00334448655925e-05
"133"	"1026_Красный_сигнал.txt"	10	0.999432658484428
"134"	"1026_Красный_сигнал.txt"	7	2.7016262646352e-05
"135"	"1026_Красный_сигнал.txt"	21	2.70162626463498e-05
"136"	"1026_Красный_сигнал.txt"	19	2.70162626463452e-05
"137"	"1026_Красный_сигнал.txt"	4	2.7016262646343e-05
"138"	"1026_Красный_сигнал.txt"	16	2.70162626463387e-05
"139"	"1026_Красный_сигнал.txt"	17	2.70162626463386e-05
"140"	"1026_Красный_сигнал.txt"	15	2.70162626463325e-05
"141"	"1026_Красный_сигнал.txt"	20	2.70162626463261e-05
"142"	"1026_Красный_сигнал.txt"	9	2.70162626463115e-05
"143"	"1026_Красный_сигнал.txt"	1	2.70162626463077e-05
"144"	"1026_Красный_сигнал.txt"	12	2.70162626463027e-05
"145"	"1026_Красный_сигнал.txt"	13	2.70162626462803e-05
"146"	"1026_Красный_сигнал.txt"	5	2.70162626462665e-05
"147"	"1026_Красный_сигнал.txt"	11	2.70162626462663e-05
"148"	"1026_Красный_сигнал.txt"	8	2.70162626462655e-05
"149"	"1026_Красный_сигнал.txt"	6	2.70162626462599e-05
"150"	"1026_Красный_сигнал.txt"	14	2.70162626462539e-05
"151"	"1026_Красный_сигнал.txt"	3	2.70162626462278e-05
"152"	"1026_Красный_сигнал.txt"	18	2.70162626461714e-05
"153"	"1026_Красный_сигнал.txt"	22	2.70162626461103e-05
"154"	"1026_Красный_сигнал.txt"	2	2.70162626461049e-05
"155"	"1076_Пудя.txt"	11	0.999769594931993
"156"	"1076_Пудя.txt"	15	1.09716699052047e-05
"157"	"1076_Пудя.txt"	10	1.0971669905183e-05
"158"	"1076_Пудя.txt"	2	1.09716699051524e-05
"159"	"1076_Пудя.txt"	12	1.097166990515e-05
"160"	"1076_Пудя.txt"	5	1.09716699051465e-05
"161"	"1076_Пудя.txt"	22	1.09716699051349e-05
"162"	"1076_Пудя.txt"	14	1.097166990513e-05
