"topic"	"term"	"beta"
"1"	1	"птичка"	0.0219178082191781
"2"	1	"песня"	0.0191780821917808
"3"	1	"лисичка"	0.0182648401826484
"4"	1	"зеленый"	0.0118721461187215
"5"	1	"съедать"	0.0091324200913242
"6"	2	"рыбка"	0.0281511822664997
"7"	2	"золотой"	0.0183594666955433
"8"	2	"пруд"	0.0177474844723585
"9"	2	"окунь"	0.0142795852076448
"10"	2	"лягушка"	0.00877174519898179
"11"	3	"царевна"	0.0789749228151306
"12"	3	"каменный"	0.0555664217792528
"13"	3	"царица"	0.0173653396092999
"14"	3	"женщина"	0.00902997659683597
"15"	3	"добро"	0.00833536301246397
"16"	4	"братец"	0.0271398747390397
"17"	4	"ягненочек"	0.0161795407098121
"18"	4	"мельник"	0.011482254697286
"19"	4	"старушка"	0.0109603340292276
"20"	4	"злой"	0.00887265135699374
"21"	4	"колдуньин"	0.00887265135699374
"22"	5	"медведь"	0.0146321301182625
"23"	5	"серый"	0.0117770803390893
"24"	5	"чудище"	0.0117770803390893
"25"	5	"лиана"	0.0117770803390893
"26"	5	"берлога"	0.0103495554495027
"27"	6	"принц"	0.0160372829968025
"28"	6	"сестра"	0.0148148579083444
"29"	6	"дурочка"	0.0148148579083444
"30"	6	"блюдечко"	0.0122931799664985
"31"	6	"старуха"	0.0100867117673834
"32"	7	"боярин"	0.0298136645962733
"33"	7	"зодчий"	0.0217391304347826
"34"	7	"незнакомец"	0.0105590062111801
"35"	7	"голод"	0.00993788819875776
"36"	7	"чародей"	0.00869565217391303
"37"	8	"семилетка"	0.0429155313351499
"38"	8	"мачеха"	0.0238419618528611
"39"	8	"дудочка"	0.0214577656675749
"40"	8	"дочь"	0.00987738419618529
"41"	8	"медведь"	0.00953678474114442
"42"	9	"диво"	0.0322906155398587
"43"	9	"дивный"	0.0312815338042381
"44"	9	"стадо"	0.0211907164480323
"45"	9	"пастух"	0.0171543895055499
"46"	9	"облако"	0.012108980827447
"47"	10	"мечта"	0.0116534389683227
"48"	10	"лентяй"	0.00938749250225998
"49"	10	"звездочка"	0.00874007922624205
"50"	10	"принцесса"	0.00679783939818825
"51"	10	"рыцарь"	0.00647413276017929
"52"	10	"барс"	0.00647413276017929
"53"	11	"свирель"	0.0140865026823674
"54"	11	"дар"	0.0122221126214416
"55"	11	"сирота"	0.0120149581702545
"56"	11	"пес"	0.0109791859141981
"57"	11	"звук"	0.00787186914602753
"58"	12	"ротозеечка"	0.0230029788221609
"59"	12	"аист"	0.0182668026031371
"60"	12	"царевна"	0.0123862193657789
"61"	12	"богатырский"	0.0112065794149193
"62"	12	"морской"	0.0106167594563819
"63"	13	"клетка"	0.0226039783001808
"64"	13	"воробей"	0.0171790235081374
"65"	13	"старичок"	0.011754068716094
"66"	13	"ветка"	0.00904159132007233
"67"	13	"лента"	0.00632911392405063
"68"	14	"конек"	0.0289640674408851
"69"	14	"горбунок"	0.0273842092168369
"70"	14	"царевна"	0.0205381569126276
"71"	14	"конь"	0.011059007568338
"72"	14	"жар"	0.0084259105282575
"73"	15	"книжка"	0.0120158049020103
"74"	15	"мир"	0.0110716195087105
"75"	15	"дочь"	0.0101641125977501
"76"	15	"серебряный"	0.00970507367956517
"77"	15	"счастливый"	0.00761769949513052
"78"	16	"ринг"	0.00958416415046353
"79"	16	"герцог"	0.00789284106508762
"80"	16	"меч"	0.00648340516060768
"81"	16	"храм"	0.00648340516060768
"82"	16	"царство"	0.00533651527533914
"83"	17	"попугай"	0.0201189609284278
"84"	17	"смеяться"	0.0191903935009619
"85"	17	"барсук"	0.0133094664603445
"86"	17	"веселый"	0.0126904215087006
"87"	17	"старуха"	0.0123808990328786
"88"	18	"аллах"	0.00705354681138152
"89"	18	"счастие"	0.0065317283762918
"90"	18	"снежок"	0.0064123152830122
"91"	18	"плотник"	0.0060916995189204
"92"	18	"вершина"	0.0057710837547667
"93"	19	"дуля"	0.0242402315484805
"94"	19	"косарь"	0.018451519536903
"95"	19	"старуха"	0.00795947901591896
"96"	19	"гай"	0.0065123010130246
"97"	19	"отдавать"	0.00578871201157742
"98"	19	"бычок"	0.00578871201157742
"99"	20	"пальчик"	0.0367201625435283
"100"	20	"ухо"	0.00983575782415937
"101"	20	"пастух"	0.00721288907105021
"102"	20	"снегурушка"	0.00721288907105021
"103"	20	"знатный"	0.00590145469449562
"104"	21	"мачеха"	0.019435446552522
"105"	21	"дочь"	0.01850994909764
"106"	21	"морозко"	0.013419713095789
"107"	21	"тепло"	0.012494215640907
"108"	21	"короб"	0.011105969458584
"109"	22	"сказка"	0.0236823629973109
"110"	22	"царевна"	0.0196758479727183
"111"	22	"орел"	0.00983792398635916
"112"	22	"льдинка"	0.00983792398635916
"113"	22	"принц"	0.00910918887625847
"114"	23	"жена"	0.0166874329855834
"115"	23	"ковер"	0.0159457692973353
"116"	23	"колдун"	0.0129791145443427
"117"	23	"ехать"	0.0119491702308441
"118"	23	"стрела"	0.00852913241485376
"119"	23	"самолет"	0.00852913241485376
"120"	24	"королевна"	0.0146730838627022
"121"	24	"рыцарь"	0.0128056004619946
"122"	24	"духовик"	0.0098709836894542
"123"	24	"перчатка"	0.00933741700353775
"124"	24	"зайчик"	0.00880385031762131
"125"	25	"жук"	0.0296045539436436
"126"	25	"носорог"	0.013021456882289
"127"	25	"крыло"	0.00937544895524805
"128"	25	"рог"	0.00885459067995649
"129"	25	"полететь"	0.0062502993034987
"130"	26	"бумажный"	0.00992972260602872
"131"	26	"принц"	0.00930807817674451
"132"	26	"принцесса"	0.00827476883837903
"133"	26	"убивать"	0.00661784051651404
"134"	26	"весна"	0.00628882431716806
"135"	27	"туз"	0.0233895705521472
"136"	27	"трефовый"	0.0176380368098159
"137"	27	"валет"	0.0149539877300613
"138"	27	"двойка"	0.00958588957055214
"139"	27	"бубновый"	0.00843558282208589
