"document"	"topic"	"gamma"
"1"	"1027_Королева_-_золотые_пятки.txt"	6	0.999677397276888
"2"	"1027_Королева_-_золотые_пятки.txt"	22	1.24077970428539e-05
"3"	"1027_Королева_-_золотые_пятки.txt"	16	1.24077970428451e-05
"4"	"1027_Королева_-_золотые_пятки.txt"	5	1.24077970428348e-05
"5"	"1027_Королева_-_золотые_пятки.txt"	18	1.24077970428304e-05
"6"	"1027_Королева_-_золотые_пятки.txt"	1	1.24077970428253e-05
"7"	"1027_Королева_-_золотые_пятки.txt"	3	1.24077970428191e-05
"8"	"1027_Королева_-_золотые_пятки.txt"	27	1.24077970428181e-05
"9"	"1027_Королева_-_золотые_пятки.txt"	17	1.24077970428177e-05
"10"	"1027_Королева_-_золотые_пятки.txt"	7	1.24077970428163e-05
"11"	"1027_Королева_-_золотые_пятки.txt"	8	1.24077970428133e-05
"12"	"1027_Королева_-_золотые_пятки.txt"	11	1.24077970428004e-05
"13"	"1027_Королева_-_золотые_пятки.txt"	26	1.24077970427954e-05
"14"	"1027_Королева_-_золотые_пятки.txt"	12	1.2407797042795e-05
"15"	"1027_Королева_-_золотые_пятки.txt"	21	1.24077970427792e-05
"16"	"1027_Королева_-_золотые_пятки.txt"	2	1.24077970427778e-05
"17"	"1027_Королева_-_золотые_пятки.txt"	25	1.24077970427719e-05
"18"	"1027_Королева_-_золотые_пятки.txt"	15	1.24077970427605e-05
"19"	"1027_Королева_-_золотые_пятки.txt"	19	1.24077970427557e-05
"20"	"1027_Королева_-_золотые_пятки.txt"	23	1.24077970427546e-05
"21"	"1027_Королева_-_золотые_пятки.txt"	10	1.2407797042745e-05
"22"	"1027_Королева_-_золотые_пятки.txt"	9	1.24077970427408e-05
"23"	"1027_Королева_-_золотые_пятки.txt"	20	1.24077970427367e-05
"24"	"1027_Королева_-_золотые_пятки.txt"	14	1.24077970427023e-05
"25"	"1027_Королева_-_золотые_пятки.txt"	4	1.24077970426532e-05
"26"	"1027_Королева_-_золотые_пятки.txt"	13	1.24077970426528e-05
"27"	"1027_Королева_-_золотые_пятки.txt"	24	1.24077970426404e-05
"28"	"1120_Звериный_урок.txt"	10	0.996796754514453
"29"	"1120_Звериный_урок.txt"	11	0.000123201749444132
"30"	"1120_Звериный_урок.txt"	2	0.000123201749444123
"31"	"1120_Звериный_урок.txt"	24	0.000123201749444123
"32"	"1120_Звериный_урок.txt"	20	0.000123201749444119
"33"	"1120_Звериный_урок.txt"	26	0.000123201749444115
"34"	"1120_Звериный_урок.txt"	5	0.00012320174944411
"35"	"1120_Звериный_урок.txt"	8	0.00012320174944411
"36"	"1120_Звериный_урок.txt"	23	0.000123201749444108
"37"	"1120_Звериный_урок.txt"	15	0.000123201749444107
"38"	"1120_Звериный_урок.txt"	17	0.000123201749444105
"39"	"1120_Звериный_урок.txt"	25	0.000123201749444105
"40"	"1120_Звериный_урок.txt"	16	0.000123201749444104
"41"	"1120_Звериный_урок.txt"	19	0.000123201749444103
"42"	"1120_Звериный_урок.txt"	12	0.000123201749444103
"43"	"1120_Звериный_урок.txt"	14	0.0001232017494441
"44"	"1120_Звериный_урок.txt"	22	0.000123201749444099
"45"	"1120_Звериный_урок.txt"	21	0.000123201749444099
"46"	"1120_Звериный_урок.txt"	3	0.000123201749444098
"47"	"1120_Звериный_урок.txt"	7	0.000123201749444093
"48"	"1120_Звериный_урок.txt"	13	0.000123201749444087
"49"	"1120_Звериный_урок.txt"	27	0.000123201749444086
"50"	"1120_Звериный_урок.txt"	4	0.000123201749444085
"51"	"1120_Звериный_урок.txt"	18	0.00012320174944408
"52"	"1120_Звериный_урок.txt"	1	0.000123201749444079
"53"	"1120_Звериный_урок.txt"	9	0.000123201749444071
"54"	"1120_Звериный_урок.txt"	6	0.000123201749444071
"55"	"1720_Воробьиный_царь.txt"	13	0.999715305012105
"56"	"1720_Воробьиный_царь.txt"	22	1.09498072268237e-05
"57"	"1720_Воробьиный_царь.txt"	8	1.09498072268078e-05
"58"	"1720_Воробьиный_царь.txt"	5	1.09498072267896e-05
"59"	"1720_Воробьиный_царь.txt"	16	1.09498072267785e-05
"60"	"1720_Воробьиный_царь.txt"	11	1.09498072267714e-05
"61"	"1720_Воробьиный_царь.txt"	24	1.09498072267596e-05
"62"	"1720_Воробьиный_царь.txt"	20	1.09498072267581e-05
"63"	"1720_Воробьиный_царь.txt"	18	1.09498072267444e-05
"64"	"1720_Воробьиный_царь.txt"	7	1.09498072267431e-05
"65"	"1720_Воробьиный_царь.txt"	15	1.09498072267419e-05
"66"	"1720_Воробьиный_царь.txt"	23	1.0949807226741e-05
"67"	"1720_Воробьиный_царь.txt"	19	1.09498072267381e-05
"68"	"1720_Воробьиный_царь.txt"	21	1.09498072267356e-05
"69"	"1720_Воробьиный_царь.txt"	12	1.09498072267278e-05
"70"	"1720_Воробьиный_царь.txt"	27	1.09498072267277e-05
"71"	"1720_Воробьиный_царь.txt"	14	1.09498072267066e-05
"72"	"1720_Воробьиный_царь.txt"	10	1.09498072267062e-05
"73"	"1720_Воробьиный_царь.txt"	26	1.09498072266989e-05
"74"	"1720_Воробьиный_царь.txt"	17	1.09498072266895e-05
"75"	"1720_Воробьиный_царь.txt"	25	1.09498072266845e-05
"76"	"1720_Воробьиный_царь.txt"	2	1.09498072266561e-05
"77"	"1720_Воробьиный_царь.txt"	1	1.09498072266424e-05
"78"	"1720_Воробьиный_царь.txt"	4	1.0949807226641e-05
"79"	"1720_Воробьиный_царь.txt"	6	1.09498072266362e-05
"80"	"1720_Воробьиный_царь.txt"	3	1.09498072266106e-05
"81"	"1720_Воробьиный_царь.txt"	9	1.09498072265758e-05
"82"	"1778_Строль_и_Фиериль.txt"	25	0.999276484764675
"83"	"1778_Строль_и_Фиериль.txt"	3	2.78275090510607e-05
"84"	"1778_Строль_и_Фиериль.txt"	9	2.78275090510434e-05
"85"	"1778_Строль_и_Фиериль.txt"	23	2.78275090510347e-05
